Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 7.0055, 17268, 17424, 6.8840, 1698, 1712
200, 6.5549, 16522, 16707, 6.3199, 1602, 1617
400, 7.5552, 18129, 18719, 7.4651, 1801, 1848
600, 7.2769, 16142, 18350, 7.0834, 1573, 1787
800, 7.6068, 17008, 18930, 7.4114, 1650, 1844
1000, 7.7531, 17368, 19343, 7.5712, 1696, 1890
1200, 7.1163, 15176, 18099, 6.9857, 1481, 1778
1400, 7.6767, 18211, 19145, 7.6094, 1809, 1895
1600, 7.6143, 16747, 19217, 7.4983, 1661, 1892
1800, 8.0141, 19713, 19874, 7.8991, 1945, 1957
2000, 7.8958, 19178, 19751, 7.7813, 1894, 1942
