Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.5714, 40.90, 1.5468, 41.27 
1, 1.5114, 41.20, 1.4626, 43.13 
2, 1.3846, 51.83, 1.2975, 59.69 
3, 1.2170, 62.93, 1.1358, 65.69 
4, 1.0720, 67.15, 1.0090, 69.31 
5, 0.9595, 70.37, 0.9115, 71.78 
6, 0.8692, 72.59, 0.8318, 73.90 
7, 0.7932, 74.66, 0.7622, 75.95 
8, 0.7241, 76.57, 0.6961, 77.24 
9, 0.6562, 78.34, 0.6286, 78.77 
10, 0.5876, 79.87, 0.5642, 80.08 
11, 0.5247, 81.85, 0.5123, 81.81 
12, 0.4755, 83.56, 0.4710, 82.92 
13, 0.4415, 84.74, 0.4410, 83.97 
14, 0.4164, 85.67, 0.4147, 84.77 
15, 0.3936, 86.45, 0.3921, 85.59 
16, 0.3727, 87.14, 0.3732, 86.28 
17, 0.3539, 87.69, 0.3548, 86.99 
18, 0.3370, 88.33, 0.3407, 87.69 
19, 0.3223, 88.80, 0.3303, 88.08 
20, 0.3092, 89.29, 0.3215, 88.42 
21, 0.2982, 89.64, 0.3147, 88.62 
22, 0.2886, 89.95, 0.3075, 88.91 
23, 0.2792, 90.25, 0.3024, 89.00 
24, 0.2708, 90.50, 0.2985, 89.04 
25, 0.2637, 90.74, 0.2946, 89.13 
26, 0.2567, 91.01, 0.2913, 89.19 
27, 0.2501, 91.14, 0.2883, 89.30 
28, 0.2438, 91.32, 0.2854, 89.35 
29, 0.2384, 91.49, 0.2830, 89.43 
30, 0.2329, 91.68, 0.2809, 89.41 
31, 0.2279, 91.86, 0.2785, 89.53 
32, 0.2230, 92.04, 0.2766, 89.54 
33, 0.2182, 92.23, 0.2750, 89.60 
34, 0.2136, 92.42, 0.2734, 89.64 
35, 0.2094, 92.59, 0.2714, 89.66 
36, 0.2047, 92.72, 0.2698, 89.70 
37, 0.2006, 92.83, 0.2687, 89.74 
38, 0.1967, 92.98, 0.2668, 89.83 
39, 0.1927, 93.11, 0.2661, 89.87 
40, 0.1892, 93.26, 0.2645, 89.93 
41, 0.1856, 93.40, 0.2634, 90.03 
42, 0.1817, 93.54, 0.2615, 90.07 
43, 0.1782, 93.62, 0.2615, 90.08 
44, 0.1746, 93.77, 0.2608, 90.05 
45, 0.1710, 93.88, 0.2603, 90.08 
46, 0.1676, 93.99, 0.2596, 90.08 
47, 0.1645, 94.16, 0.2585, 90.15 
48, 0.1612, 94.27, 0.2575, 90.20 
49, 0.1580, 94.35, 0.2572, 90.25 
